year,n,nu,loc,scale,ks,shoulder,quality
2010,27150,4.4885572635562845,0.018559454846012735,0.902455952980508,0.04980636663040494,0.003713178735821554,GOOD
2011,49015,5.219646796758365,0.00862942279165007,0.9316368757521449,0.04226872872257453,0.004029368322445492,GOOD
2012,48476,4.693837637129972,0.009264545697143703,0.9109236996196028,0.0485921758687714,0.0018407776849037605,GOOD
2013,47267,4.180007053862067,0.015276179391967981,0.8852844650275018,0.05322651860470362,0.0026692037921235423,FAIL
2014,47762,4.298571839645099,0.019338096113162943,0.8924567426070673,0.04301111117543405,0.003967215969002957,GOOD
2015,50752,4.551754240873427,0.006762349137930959,0.88070254475855,0.03028026290434227,0.003951583747246357,GOOD
2016,51454,4.59925738073207,0.003944955619980858,0.8750674894296449,0.032287490499593674,0.0023759028061722948,GOOD
2017,52902,4.200555602847057,0.026193110074795932,0.8630534518746935,0.04188337131741238,0.004696289026606126,GOOD
2018,54441,4.769375178536714,0.010158777743224087,0.8641104518016092,0.02023982801185298,0.004419744096299305,GOOD
2019,53939,4.0231194930310386,0.018541923209067113,0.7905708037707865,0.0199487411473534,0.0045272938528988504,GOOD
2020,54307,4.943318238587521,0.02268306553417644,0.852054458758972,0.011012833157460267,0.007003627390376743,GOOD
2021,56625,4.153013933661676,0.019477334126216488,0.8107019134065623,0.011465875996917396,0.0056730066157428816,GOOD
2022,58044,4.396702240248082,0.0017011651719440546,0.8196179259417552,0.010105670233356456,0.004377921598430784,GOOD
2023,56817,4.5524745621631,0.019545858225741786,0.822712341777347,0.011609348410419884,0.006145648343493168,GOOD
2024,57995,4.298577203100153,0.02922814650809089,0.8234588289577653,0.010974997307739986,0.007103123281650081,GOOD
2025,56841,4.08224305943614,0.023428486368444454,0.7861843830881614,0.008591763937963626,0.006649038657089754,GOOD
2026,16328,4.496028909399654,0.0026835747883429397,0.8093725737926087,0.006342576206089523,0.004093520208958479,GOOD
