contract,gate,tier,horizon,n_events,n_scored,n_correct,accuracy,wilson_lo,wilson_hi,z_vs_half
ES,A,primary,1,1535,1441,692,0.48022206800832756,0.45451328724745554,0.5060360175554918,-1.501560603855421
ES,A,primary,3,1535,1487,707,0.4754539340954943,0.4501670777009087,0.500867286437485,-1.893073063053254
ES,A,primary,6,1535,1489,694,0.46608462055070515,0.4408665385482171,0.49147724825966843,-2.6174236662713892
ES,A,primary,12,1535,1502,717,0.4773635153129161,0.45219318894436866,0.5026493347478304,-1.754583117849768
ES,A,secondary,1,1665,1535,730,0.4755700325732899,0.45067912832128854,0.5005829074328838,-1.9142871033380855
ES,A,secondary,3,1665,1604,788,0.4912718204488778,0.4668566544021693,0.5157286932722606,-0.6991266372144922
ES,A,secondary,6,1665,1615,767,0.47492260061919506,0.4506561303054627,0.49930808666053494,-2.015574037263429
ES,A,secondary,12,1665,1613,791,0.4903905765654061,0.4660462795269778,0.5147805357239057,-0.7718706193040534
ES,B,primary,1,1636,1514,707,0.4669749009247028,0.44195939795450334,0.49215756833412594,-2.570023310217135
ES,B,primary,3,1636,1580,775,0.49050632911392406,0.4659095771519591,0.5151491330914654,-0.7547319081399411
ES,B,primary,6,1636,1582,739,0.4671302149178255,0.44265426706638333,0.4917654068414111,-2.6147495668022
ES,B,primary,12,1636,1581,752,0.4756483238456673,0.45112005460463017,0.500294643962571,-1.9365325010872492
ES,B,secondary,1,1683,1558,730,0.4685494223363286,0.44387873297301544,0.49337482151131934,-2.482803500496886
ES,B,secondary,3,1683,1627,799,0.4910878918254456,0.46684594644333444,0.5153718222777461,-0.7189591602616631
ES,B,secondary,6,1683,1631,832,0.510116492949111,0.4858605928869773,0.5343248506751188,0.8171221050989419
ES,B,secondary,12,1683,1619,810,0.5003088326127239,0.4759815827045643,0.5246346204338042,0.024852871573474235
ES,C,primary,1,1477,1383,684,0.4945770065075922,0.4682784918371865,0.5209055638422888,-0.40334824255503476
ES,C,primary,3,1477,1423,707,0.4968376669009136,0.4709030985478467,0.5227892630355919,-0.23858330994341445
ES,C,primary,6,1477,1429,690,0.4828551434569629,0.4570270691082819,0.508775148786551,-1.2962237234434637
ES,C,primary,12,1477,1439,676,0.4697706740792217,0.444098874886001,0.495603439967698,-2.2934477779568967
ES,C,secondary,1,1631,1520,726,0.4776315789473684,0.4526087334734169,0.5027672017287756,-1.744163198544763
ES,C,secondary,3,1631,1552,721,0.4645618556701031,0.4398668863475108,0.48943182247891537,-2.792201954117451
ES,C,secondary,6,1631,1569,745,0.4748247291268324,0.4502073183957491,0.49956511444739726,-1.9944154025579734
ES,C,secondary,12,1631,1587,762,0.48015122873345933,0.45564850786104705,0.5047498086080858,-1.5814376938672376
NQ,A,primary,1,1463,1449,691,0.47688060731538995,0.45125875516039893,0.5026247194656724,-1.760113240600656
NQ,A,primary,3,1463,1440,693,0.48125,0.45552756226071034,0.5070722095701204,-1.4230249470757699
NQ,A,primary,6,1463,1451,697,0.48035837353549277,0.454737285545855,0.5060831876030167,-1.496377431316653
NQ,A,primary,12,1463,1453,682,0.46937370956641433,0.443827460640993,0.4950814717887273,-2.3348404007936487
NQ,A,secondary,1,1556,1528,751,0.49149214659685864,0.4664784320977823,0.5165485320503114,-0.6651378631256463
NQ,A,secondary,3,1556,1537,786,0.5113858165256994,0.48639845436617807,0.5363164069192832,0.892752573112479
NQ,A,secondary,6,1556,1542,768,0.4980544747081712,0.473134471610633,0.5229841471741308,-0.1527949721095081
NQ,A,secondary,12,1556,1546,738,0.47736093143596375,0.45254967065204044,0.5022844192468937,-1.780300423795118
NQ,B,primary,1,1535,1508,752,0.4986737400530504,0.4734734596130083,0.5238807603174862,-0.10300524052492281
NQ,B,primary,3,1535,1514,783,0.5171730515191546,0.49199051751410117,0.5422686600158116,1.336412121312914
NQ,B,primary,6,1535,1513,751,0.4963648380700595,0.47121254292037407,0.5215355455920851,-0.28279597320098315
NQ,B,primary,12,1535,1512,759,0.501984126984127,0.4768088334377299,0.5271493641462497,0.15430334996209136
NQ,B,secondary,1,1569,1540,741,0.4811688311688312,0.45629217333474675,0.5061392022002094,-1.4779768551691124
NQ,B,secondary,3,1569,1546,765,0.4948253557567917,0.46994667093703374,0.5197296924684369,-0.4069258111531705
NQ,B,secondary,6,1569,1545,786,0.5087378640776699,0.4838191102733231,0.5336132743301715,0.6869094992749551
NQ,B,secondary,12,1569,1544,714,0.46243523316062174,0.4376897673690733,0.48736715668542197,-2.9521222716438698
NQ,C,primary,1,1371,1355,640,0.47232472324723246,0.44585878263769385,0.4989471404424787,-2.037471843465606
NQ,C,primary,3,1371,1356,662,0.4882005899705015,0.4616662606829565,0.5148015843055676,-0.8690007145497095
NQ,C,primary,6,1371,1356,677,0.49926253687315636,0.47268960717049857,0.5258396331412842,-0.05431254465935557
NQ,C,primary,12,1371,1347,671,0.4981440237564959,0.4714860617278821,0.5248125416593984,-0.13623421903119975
NQ,C,secondary,1,1528,1500,693,0.462,0.4368992806796874,0.4872948560550464,-2.9434673431176352
NQ,C,secondary,3,1528,1512,680,0.4497354497354497,0.4248195541966293,0.47490610700922387,-3.909018199039664
NQ,C,secondary,6,1528,1518,713,0.4696969696969697,0.4446987268411811,0.49484819543067465,-2.3613042107609865
NQ,C,secondary,12,1528,1517,694,0.4574818721160185,0.4325510052831912,0.4826275300915412,-3.3120502704619725
RTY,A,primary,1,1410,1359,667,0.49080206033848417,0.4642866899648675,0.5173692834147262,-0.678157048975967
RTY,A,primary,3,1410,1384,679,0.49060693641618497,0.46433196799112747,0.5169339036725615,-0.6988843297416116
RTY,A,primary,6,1410,1390,670,0.48201438848920863,0.4558319800179114,0.5082959344707966,-1.3411044519645503
RTY,A,primary,12,1410,1385,651,0.4700361010830325,0.4438699851573669,0.49636797398990834,-2.230248241836904
RTY,A,secondary,1,1477,1426,685,0.4803646563814867,0.4545209783919053,0.5063138402835946,-1.4829559957306528
RTY,A,secondary,3,1477,1445,721,0.49896193771626296,0.47321886998552404,0.5247105100845066,-0.07892004626469967
RTY,A,secondary,6,1477,1457,735,0.5044612216884008,0.4788105949886784,0.5300883857470507,0.3405756360904578
RTY,A,secondary,12,1477,1455,723,0.49690721649484537,0.47125836722391246,0.5225723537597949,-0.2359451272918835
RTY,B,primary,1,1468,1402,676,0.48216833095577744,0.4560969870655765,0.5083371248420756,-1.3353527265940857
RTY,B,primary,3,1468,1434,672,0.4686192468619247,0.442909730166847,0.49449644250408353,-2.376664798589308
