anchor_month,window_start,window_end_exclusive,n,nu,loc,scale,ks,skew
2019-01,2018-08-01,2019-02-01,29813,5.606141827956173,0.002570654267772093,0.9118802081938389,0.0500931136803352,0.3706255844935163
2019-02,2018-09-01,2019-03-01,29162,5.44067550085543,0.003297163173163917,0.9063492364305028,0.04703271963202621,0.42076855726285534
2019-03,2018-10-01,2019-04-01,29209,5.442682595270276,0.005455145290156583,0.9051983537040087,0.044726346700731556,0.38279509060164174
2019-04,2018-11-01,2019-05-01,28362,5.135605783722415,0.012233479391454824,0.8795818010454624,0.05168643777330151,0.44904390967766566
2019-05,2018-12-01,2019-06-01,28858,4.9797079553983234,0.009417854308934989,0.876534346320846,0.052937679443274654,0.0182386030189008
2019-06,2019-01-01,2019-07-01,28889,4.7686910444486825,0.021553054241573222,0.8605201781868193,0.059209914828833254,0.044434035896206266
2019-07,2019-02-01,2019-08-01,28930,4.6865960931341775,0.01953584760142256,0.8605519352779014,0.06441524126423737,0.024066226110005556
2019-08,2019-03-01,2019-09-01,30481,4.31607413754568,0.013718475937784889,0.8535510913302915,0.06157860572521101,-0.21326939271887252
2019-09,2019-04-01,2019-10-01,31070,4.0707495625114225,0.009263404755446805,0.8270601911431684,0.06222616146281684,-1.111303001105147
2019-10,2019-05-01,2019-11-01,31457,4.02245882944703,0.008209319164157344,0.8248697898176435,0.05868525261932095,-1.151065903938447
2019-11,2019-06-01,2019-12-01,30600,3.9144772760582676,0.017440966841216553,0.8067394410004685,0.06308085219803305,-1.1567593470184305
2019-12,2019-07-01,2020-01-01,30610,3.7310399895807382,0.011930712575842321,0.792256333038747,0.06556359969866127,-0.18370444989706866
2020-01,2019-08-01,2020-02-01,30651,3.7335193733431677,0.012515005933296549,0.793878943209513,0.06273549986729687,-0.1858021115064554
2020-02,2019-09-01,2020-03-01,30165,4.0451171106148704,0.00815272810449151,0.8172571172840312,0.06134322103622203,-0.029810886988688372
2020-03,2019-10-01,2020-04-01,30160,4.433434041126736,0.0038702050548604194,0.847636953626896,0.0541794365440727,1.0818162032915555
2020-04,2019-11-01,2020-05-01,30256,4.659309383786892,0.0032176194256444864,0.8680571387688416,0.04866540057586821,1.1285518106058996
2020-05,2019-12-01,2020-06-01,30615,4.805987442340821,-0.0008122307855391881,0.8855632263669634,0.042075394501958796,0.9876468572121805
2020-06,2020-01-01,2020-07-01,30944,5.204913709437981,0.003424359534028607,0.9010146137950203,0.03377941713080618,0.351268338142883
2020-07,2020-02-01,2020-08-01,31004,5.1660482707253585,0.00492141535056294,0.8973796938789753,0.03065259442873408,0.3403251019352953
2020-08,2020-03-01,2020-09-01,30285,5.050668232098282,0.013942180227134886,0.8817986766317769,0.03145614529920854,0.3639246650717166
2020-09,2020-04-01,2020-10-01,30409,5.028815967701604,0.0224085394322373,0.8914746268745417,0.031677891913466094,0.1980868464440446
2020-10,2020-05-01,2020-11-01,30115,4.7668198579632675,0.022015419017246303,0.8740018199029562,0.03314849927006841,0.14630910955973592
2020-11,2020-06-01,2020-12-01,29629,4.805284687819764,0.022241478315971022,0.8708675233497152,0.0325308397230486,0.5045192743514125
2020-12,2020-07-01,2021-01-01,29381,4.725065472120184,0.020166189113341018,0.8682112065208021,0.0353700300439157,0.1074252758634161
2021-01,2020-08-01,2021-02-01,28806,4.743996241269793,0.01893061650997705,0.872148840598348,0.03528079622461483,0.05509134038815545
2021-02,2020-09-01,2021-03-01,28651,4.743081328501624,0.017361134155120663,0.8719720269702749,0.034607727728490634,0.10400607105585281
2021-03,2020-10-01,2021-04-01,29003,4.625354108803968,0.015627828010105028,0.8584075308519412,0.03399194827555968,0.08952291389243872
2021-04,2020-11-01,2021-05-01,28919,4.671563994161162,0.02090394126486999,0.861320137503519,0.03637814283997243,0.06919842391658082
2021-05,2020-12-01,2021-06-01,28877,4.631286909593889,0.02020284094506724,0.8589463144115268,0.03822084215618943,-0.24037074703049216
2021-06,2021-01-01,2021-07-01,28790,4.567393660434897,0.01877168992577423,0.8575992000156649,0.04094866710278566,-0.32998720540549054
2021-07,2021-02-01,2021-08-01,29307,4.598830682488122,0.022731143492842366,0.8559402871245029,0.04235686721414422,-0.3304351933328046
2021-08,2021-03-01,2021-09-01,29876,4.536673107267304,0.024128421771701068,0.8460246632997266,0.0452945774324473,-0.3372426744846137
2021-09,2021-04-01,2021-10-01,29480,4.342689690472844,0.01407646370457806,0.8343266158433484,0.04862290177436507,-0.17659149819628048
2021-10,2021-05-01,2021-11-01,29572,4.407936964646229,0.013674480947790979,0.8338292247209482,0.04679701093625099,-0.1251333429293116
2021-11,2021-06-01,2021-12-01,30169,4.407904461784705,0.014811587319218944,0.8343077741928198,0.04715005045460252,-0.07444258793735671
2021-12,2021-07-01,2022-01-01,30606,4.600196358662966,0.015345126792237818,0.8415563655155549,0.041296977078856933,0.10641127009547588
