window_start,window_end,center,nu,loc,scale,n,ks
2010-06-07 00:00:00+00:00,2013-06-07 00:00:00+00:00,2011-12-07 00:00:00+00:00,5.673719134486258,0.008385038671459115,0.8584695497530783,162225,0.08529199854382113
2010-09-07 00:00:00+00:00,2013-09-07 00:00:00+00:00,2012-03-08 00:00:00+00:00,5.652693653149514,0.008931064419903606,0.8569063340867213,162255,0.08622173786911319
2010-12-07 00:00:00+00:00,2013-12-07 00:00:00+00:00,2012-06-07 00:00:00+00:00,5.584103931592132,0.009336270862678136,0.8564361720200591,162356,0.08741709148902616
2011-03-07 00:00:00+00:00,2014-03-07 00:00:00+00:00,2012-09-05 00:00:00+00:00,5.5313858136617515,0.008474123383717374,0.8590567943078216,162105,0.08571369444875587
2011-06-07 00:00:00+00:00,2014-06-07 00:00:00+00:00,2012-12-06 00:00:00+00:00,5.530414233978517,0.00888540734430408,0.8609306593943242,162341,0.08587779702769305
2011-09-07 00:00:00+00:00,2014-09-07 00:00:00+00:00,2013-03-08 00:00:00+00:00,5.442268584333537,0.010472591927807019,0.8565148744606654,161094,0.08967634778121364
2011-12-07 00:00:00+00:00,2014-12-07 00:00:00+00:00,2013-06-07 00:00:00+00:00,5.3005301948333905,0.010611433147908772,0.8529984972989672,160832,0.0924467624866897
2012-03-07 00:00:00+00:00,2015-03-07 00:00:00+00:00,2013-09-05 12:00:00+00:00,5.245272191024452,0.009479016808420483,0.855773238679925,161063,0.09122062416041216
2012-06-07 00:00:00+00:00,2015-06-07 00:00:00+00:00,2013-12-06 12:00:00+00:00,5.1510985623885315,0.008873313124399436,0.8555451108230742,161013,0.09050402583998929
2012-09-07 00:00:00+00:00,2015-09-07 00:00:00+00:00,2014-03-08 12:00:00+00:00,5.094086592782345,0.00902138565177336,0.8602851102275193,163458,0.08788349926419703
2012-12-07 00:00:00+00:00,2015-12-07 00:00:00+00:00,2014-06-07 12:00:00+00:00,5.126663728070964,0.009115712969057447,0.8643355096303669,164865,0.08451355309791964
2013-03-07 00:00:00+00:00,2016-03-07 00:00:00+00:00,2014-09-06 00:00:00+00:00,5.129471056826754,0.006661289748685951,0.8705937430367925,167440,0.07934225585929722
2013-06-07 00:00:00+00:00,2016-06-07 00:00:00+00:00,2014-12-07 00:00:00+00:00,5.167031525379235,0.005628999350678118,0.8710517094115571,168076,0.07683407678242893
2013-09-07 00:00:00+00:00,2016-09-07 00:00:00+00:00,2015-03-09 00:00:00+00:00,5.149544031606265,0.0051363358811963526,0.8714993987404396,168416,0.0769542595955004
2013-12-07 00:00:00+00:00,2016-12-07 00:00:00+00:00,2015-06-08 00:00:00+00:00,5.146771222222121,0.0038018780434511457,0.8725460557647243,169192,0.07539505321510165
2014-03-07 00:00:00+00:00,2017-03-07 00:00:00+00:00,2015-09-06 00:00:00+00:00,5.14994452341303,0.00470237584526976,0.8724720242935249,169711,0.07651960466224872
2014-06-07 00:00:00+00:00,2017-06-07 00:00:00+00:00,2015-12-07 00:00:00+00:00,5.108789094255162,0.0056796214789256345,0.8722042618230249,169739,0.07680920183081424
2014-09-07 00:00:00+00:00,2017-09-07 00:00:00+00:00,2016-03-08 00:00:00+00:00,5.0903381387593285,0.006583426013747342,0.8721260517536856,171003,0.07638425932192688
2014-12-07 00:00:00+00:00,2017-12-07 00:00:00+00:00,2016-06-07 00:00:00+00:00,5.16071302284867,0.0072339165834455765,0.8731286458632637,171541,0.07826802289161128
2015-03-07 00:00:00+00:00,2018-03-07 00:00:00+00:00,2016-09-05 00:00:00+00:00,5.212368343487771,0.008592277880197617,0.8783537021368388,173237,0.07837196543660768
2015-06-07 00:00:00+00:00,2018-06-07 00:00:00+00:00,2016-12-06 00:00:00+00:00,5.280895589940066,0.009391426758308171,0.8817996930423468,174167,0.0764813662428322
2015-09-07 00:00:00+00:00,2018-09-07 00:00:00+00:00,2017-03-08 00:00:00+00:00,5.305295363418219,0.00980677865833977,0.8792800730533138,172392,0.07713858160206277
2015-12-07 00:00:00+00:00,2018-12-07 00:00:00+00:00,2017-06-07 00:00:00+00:00,5.305721194109989,0.009340202051725675,0.8822302593282085,172746,0.07697890136049179
2016-03-07 00:00:00+00:00,2019-03-07 00:00:00+00:00,2017-09-05 12:00:00+00:00,5.249879691250216,0.010922581133092173,0.8785110090063117,171926,0.07688593614208322
2016-06-07 00:00:00+00:00,2019-06-07 00:00:00+00:00,2017-12-06 12:00:00+00:00,5.159839026131785,0.011855915671316102,0.8782730516983417,172443,0.07652109734315687
2016-09-07 00:00:00+00:00,2019-09-07 00:00:00+00:00,2018-03-08 12:00:00+00:00,5.001156254244773,0.012361262325385421,0.8750881067613812,174422,0.07443864301202013
2016-12-07 00:00:00+00:00,2019-12-07 00:00:00+00:00,2018-06-07 12:00:00+00:00,4.86223334332435,0.013711073271368371,0.8685646616267364,174948,0.07335404894230096
